year,start_of_year_date,end_of_year_date,Facility_Name,animal_category,animal_type,start_of_year_in_shelter_count,start_of_year_in_foster_care_count,intake_stray,intake_relinquished,intake_in_state_transfer,intake_out_of_state_transfer,intake_other,outcome_adoption,outcome_return_to_owner,outcome_in_state_transfer,outcome_out_of_state_transfer,outcome_other,outcome_deaths,outcome_euthanasia,outcome_missing_or_stolen,end_of_year_in_shelter_count,end_of_year_in_foster_care_count
2015,2015-01-01,2015-12-31,Humane Society of Boulder Valley,dog,adult,45,4,832,1194,258,1055,83,2357,753,56,8,48,6,1,198,34,6
2015,2015-01-01,2015-12-31,Lucky Day Animal Rescue of Colorado,dog,juvenile,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,1
2015,2015-01-01,2015-12-31,Foothills Animal Shelter,other,birds,0,0,18,38,28,0,1,75,1,6,0,0,0,0,2,1,0
2015,2015-01-01,2015-12-31,Logan County Humane Society,other,small mammals,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,Colorado Greyhound Adoption,dog,adult,18,18,0,152,2,0,0,155,0,0,0,0,1,0,3,13,13
2015,2015-01-01,2015-12-31,Southern Colorado Animal Rescue DBA Black Forest Animal Sanctuary,cat,adult,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,6,0
2015,2015-01-01,2015-12-31,Summit County Animal Control and Shelter,cat,juvenile,2,0,18,12,23,19,0,54,4,0,0,0,1,0,1,2,0
2015,2015-01-01,2015-12-31,L.O.L.A.'S Rescue,cat,juvenile,10,10,10,4,16,145,6,176,0,0,0,0,15,0,0,0,0
2015,2015-01-01,2015-12-31,Humane society of the pikes peak region,other,birds,0,0,40,266,0,0,3,124,3,40,0,0,16,0,124,1,0
2015,2015-01-01,2015-12-31,Flitesong Cage Bird Sanctuary,other,birds,59,0,1,0,1,0,0,4,0,0,0,0,7,0,0,50,0
2015,2015-01-01,2015-12-31,Hallcrest Kennel,dog,adult,3,0,32,0,0,0,0,8,24,0,0,0,0,0,0,35,0
2015,2015-01-01,2015-12-31,LIFE IS BETTER RESCUE,cat,adult,6,4,5,5,64,9,0,71,0,1,0,4,2,0,0,18,6
2015,2015-01-01,2015-12-31,Summit County Animal Control and Shelter,dog,adult,11,0,137,30,64,81,60,215,152,3,0,0,0,0,4,15,0
2015,2015-01-01,2015-12-31,Southern Colorado Animal Rescue DBA Black Forest Animal Sanctuary,dog,juvenile,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,"Cisco Kidd, LLC",dog,juvenile,4,0,0,0,4,4,85,97,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,The Dumb Friends League Buddy Center,cat,juvenile,2,0,99,254,2,0,0,428,4,0,0,0,9,0,20,1,4
2015,2015-01-01,2015-12-31,Longmont Humane Society,dog,adult,78,11,949,466,103,384,15,1318,586,31,11,0,3,0,71,67,11
2015,2015-01-01,2015-12-31,Adams County Animal Shelter/ Adoption Center,cat,adult,54,7,789,289,7,0,77,504,96,93,0,0,5,7,417,57,6
2015,2015-01-01,2015-12-31,City of Aurora Animal Shelter,other,rabbits,0,0,6,0,0,0,2,0,0,6,0,0,0,0,0,0,2
2015,2015-01-01,2015-12-31,PETCO / Dumb Friends League,dog,adult,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,Rocky Mountain Collie and Sheltie Rescue Inc.,dog,adult,0,17,0,13,16,5,16,49,0,0,0,0,3,0,1,0,14
2015,2015-01-01,2015-12-31,Roice Hurst Humane Society,dog,juvenile,2,0,5,45,10,19,16,98,0,0,1,0,1,0,0,4,0
2015,2015-01-01,2015-12-31,Adoptable Animal Rescue Force,dog,adult,0,0,0,150,0,0,50,200,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,Humane Society of Weld County,dog,juvenile,5,0,99,28,0,0,9,90,11,6,0,0,7,0,4,1,14
2015,2015-01-01,2015-12-31,Safe Harbor Lab Rescue,dog,juvenile,0,0,0,0,8,8,0,16,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,Every Creature Counts,dog,juvenile,20,0,15,2,175,300,15,495,0,0,0,510,6,0,0,10,0
2015,2015-01-01,2015-12-31,Oh Be Dogful Rescue,dog,adult,7,0,0,4,1,3,1,5,0,0,0,0,1,0,0,7,0
2015,2015-01-01,2015-12-31,Lifeline Pet Rescue,dog,adult,23,0,0,0,11,30,0,40,0,0,0,0,0,0,0,1,0
2015,2015-01-01,2015-12-31,"Colorado Animal Rescue, Inc.",cat,adult,42,3,130,110,30,0,19,193,68,10,0,12,0,0,16,26,2
2015,2015-01-01,2015-12-31,Second Chance Animal Rescue Foundation,cat,adult,0,0,4,19,0,0,0,4,0,19,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,"Animal Rescue Connection, Inc.",cat,juvenile,3,3,0,62,19,4,0,83,0,0,0,0,0,0,3,2,2
2015,2015-01-01,2015-12-31,Eagle Valley Humane Society,cat,adult,12,3,2,48,0,0,0,55,0,0,0,0,0,0,0,8,2
2015,2015-01-01,2015-12-31,Eagle County Animal Shelter & Services,other,reptiles and amphibians,7,0,0,7,0,0,0,4,0,3,0,0,0,0,0,7,0
2015,2015-01-01,2015-12-31,Humane Society of Fremont County,other,small mammals,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,Delta County Humane Society,dog,adult,3,3,23,29,10,0,7,41,16,10,0,0,0,0,0,5,5
2015,2015-01-01,2015-12-31,Leadville/Lake Co Animal Shelter,cat,juvenile,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,RezDawg Rescue,cat,juvenile,4,4,0,0,0,103,0,85,0,6,0,0,7,0,0,9,9
2015,2015-01-01,2015-12-31,Bear Creek Animal Hospital,dog,adult,14,0,225,22,0,0,0,42,177,25,0,0,0,0,1,1,0
2015,2015-01-01,2015-12-31,SECOND CHANCE HUMANE SOCIETY,cat,adult,28,0,51,26,3,0,0,57,5,0,0,0,3,0,0,43,0
2016,2016-01-01,2016-12-31,"Golden Retriever Freedom Rescue, Inc.",dog,juvenile,0,2,0,1,1,12,0,11,0,0,0,0,0,0,0,0,5
2016,2016-01-01,2016-12-31,Aspen/Pitkin County Animal Shelter,other,birds,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0
2016,2016-01-01,2016-12-31,Adams County Animal Shelter/ Adoption Center,other,other,0,0,3,2,1,0,0,1,2,1,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,No Hound Unhomed,dog,juvenile,4,0,0,0,4,0,0,20,2,6,0,0,0,0,0,2,0
2016,2016-01-01,2016-12-31,Leadville/Lake Co Animal Shelter,cat,adult,2,0,27,4,0,0,8,22,10,5,0,0,0,3,0,2,0
2016,2016-01-01,2016-12-31,Mother Gaia Rescue,cat,juvenile,0,0,0,2,0,13,0,15,0,0,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,Douglas County Canine Rescue,cat,juvenile,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1
2016,2016-01-01,2016-12-31,Adams County Animal Shelter/ Adoption Center,other,rabbits,1,0,17,11,1,0,0,9,0,8,0,0,2,4,0,5,1
2016,2016-01-01,2016-12-31,Colorado Animal Rescue,cat,adult,26,2,122,79,12,0,27,172,33,13,0,1,5,18,0,26,0
