facility_name,zip_code,formatted_zipcode,city,county
"2 Blondes All Breed Rescue, Inc",80232,80232,Denver,Jefferson
"2Nd Chance Vizsla Rescue, Inc",80524,80524,Fort Collins,Larimer
4 Paws 4 Life Rescue,80135,80135,Sedalia,Douglas
5280 Reptile Room North,80233,80233,Denver,Adams
5280 Reptile Room West,80033,80033,Wheat Ridge,Jefferson
7 Paws Rescue Ranch,81621,81621,Basalt,Eagle
9 Lives Rescue,80907,80907,Colorado Springs,El Paso
A Cat Rescue Out In The Sticks,80727,80727,Eckley,Yuma
A Friend Of Jack Rescue,80223,80223,Denver,Denver
Adams County Animal Shelter And Adoption Center,80601,80601,Brighton,Adams
Adoptable Animal Rescue Force,80814,80814,Divide,Teller
Agents Of Chaos TNR,80601,80601,Brighton,Adams
"All Aboard Animal Rescue And Shelter, Inc",80526,80526,Fort Collins,Larimer
All Breed Rescue And Training,80907,80907,Colorado Springs,El Paso
All Mixed Up Dog Rescue,80701,80701,Fort Morgan,Morgan
All Paws Matter,80110,80110,Englewood,Arapahoe
All Points West German Shorthaired Pointer Rescue,80107,80107,Elizabeth,Elbert
Almost Home Adoptions,80031,80031,Westminster,Adams
Amigos De Los Animales Colorado,80128,80128,Littleton,Jefferson
Angels With Paws,80215,80215,Denver,Jefferson
Animal Aid Of Colorado,80301,80301,Boulder,Boulder
Animal Clinic Of Julesburg,80737,80737,Julesburg,Sedgwick
Animal Friends Alliance,80524,80524,Fort Collins,Larimer
Animal Hospital Of Telluride,81435,81435,Telluride,San Miguel
Animal Kingdom And Ponds By Jeff,81003,81003,Pueblo,Pueblo
"Animal Rescue Connection, Inc",80502,80502,Longmont,Boulder
Animal Rescue Of The Rockies,80012,80012,Aurora,Arapahoe
Animal Welfare And Protection Society,81003,81003,Pueblo,Pueblo
Annie's Orphans,81303,81303,Durango,La Plata
Archway Adventures,80644,80644,Kersey,Weld
Ark - Valley Humane Society,81211,81211,Buena Vista,Chaffee
Ark - Valley Humane Society - Main Shelter,81211,81211,Buena Vista,Chaffee
Ark - Valley Humane Society - South,81201,81201,Salida,Chaffee
Ark - Valley Humane Society (Buena Vista),81211,81211,Buena Vista,Chaffee
Ark - Valley Humane Society (Salida),81201,81201,Salida,Chaffee
Ark - Valley Humane Society South,81201,81201,Salida,Chaffee
"Ark - Valley Humane Society, Inc The Sunshine Shelter",81211,81211,Buena Vista,Chaffee
Arrowhead Correctional Center,81215,81215,Canon City,Fremont
Aspen / Pitkin County Animal Shelter,81611,81611,Aspen,Pitkin
Aspen Boarding Kennel And Animal Shelter,81611,81611,Aspen,Pitkin
Aurora Animal Shelter,80011,80011,Aurora,Arapahoe
Avalon Aviary Bird Store,80538,80538,Loveland,Larimer
"Awr Cat Tails Rescue, Inc",81005,81005,Pueblo,Pueblo
Barkabull,80918,80918,Colorado Springs,El Paso
Barnwater Cats Rescue Organization,80210,80210,Denver,Denver
Bear Creek Animal Hospital,80235,80235,Denver,Jefferson
Beasties A Pet Store And More,81008,81008,Pueblo,Pueblo
Bernese Mountain Dog Club Of The Rockies,80126,80126,Littleton,Douglas
"Big Bones Canine Rescue Service, Inc",80550,80550,Windsor,Weld
"Big Dogs Huge Paws, Inc",80118,80118,Larkspur,Douglas
Black Forest Animal Sanctuary / Paws N Hooves,80908,80908,Colorado Springs,El Paso
Black Ops Rescue,80125,80125,Littleton,Douglas
Blackhat Humane Society,81301,81301,Durango,La Plata
Blue Lion Rescue,80132,80132,Monument,El Paso
Blue Moon Akita Rescue,80132,80132,Monument,El Paso
Blue Sky Satos Animal Rescue,80138,80138,Parker,Douglas
Bounce Animal Rescue,80526,80526,Fort Collins,Larimer
Breeder Release Adoption Service,80023,80023,Broomfield,Broomfield
Brighter Days Dog Rescue,80124,80124,Lone Tree,Douglas
Broadview Kennels,80132,80132,Monument,El Paso
"Buck'N - R - Ranch Animal Rescue, Inc",80808,80808,Calhan,El Paso
"Canine Candor, Inc",80550,80550,Windsor,Weld
Canine Partners Of The Rockies,80011,80011,Aurora,Arapahoe
Cat Care Durango,81303,81303,Durango,La Plata
Cat Care Society,80214,80214,Denver,Jefferson
Cats League And Assistance Of The Western (SLOPE),81505,81505,Grand Junction,Mesa
Cavies And Canines Animal Rescue,80525,80525,Fort Collins,Larimer
"Cavy Care, Inc",80015,80015,Aurora,Arapahoe
Cayleb's Kindred Senior Dog Rescue,80203,80203,Denver,Denver
"Chihuahua And Small Dog Rescue, Inc",80931,80931,Colorado Springs,El Paso
"Chow Down, Inc",80439,80439,Evergreen,Jefferson
Circle 2 Ranch - An Animal Sanctuary,80439,80439,Evergreen,Jefferson
Circle 2 Rescue,80437,80437,Evergreen,Jefferson
City Of Aurora Animal Services,80011,80011,Aurora,Arapahoe
City Of Brighton Animal Shelter,80601,80601,Brighton,Adams
City Of Brush Animal Shelter,80723,80723,Brush,Morgan
City Of Cortez Animal Shelter,81321,81321,Cortez,Montezuma
City Of Cripple Creek Animal Shelter,80813,80813,Cripple Creek,Teller
City Of La Junta Animal Shelter,81050,81050,La Junta,Otero
City Of Lamar Animal Shelter,81052,81052,Lamar,Prowers
City Of Las Animas / County Of Bent Animal Shelter,81054,81054,Las Animas,Bent
City Of Leadville / Lake County,80461,80461,Leadville,Lake
